date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:56	296984/296984	---M-Z	200	added ('OK')	text/html	etag:W/%22dba5323538c8ce18dd24cc36e7874d44%22	https://betashop-theme.mysapo.net/	C:/Users/admin/Downloads/muon-theme/betashop-theme.mysapo.net/index.html	(from )
10:31:56	89/89	---M-Z	200	added ('OK')	text/plain	etag:W/%22451e5d825ac92271ceeefc0f5f18b290%22	https://betashop-theme.mysapo.net/robots.txt		(from )
10:31:56	2704/2704	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jul%202024%2002:33:19%20GMT	https://bizweb.dktcdn.net/100/039/691/themes/895040/assets/logo.png?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/logo8331.png	(from https://betashop-theme.mysapo.net/)
10:31:57	3103/3103	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jun%202024%2003:05:24%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/favicon.png?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/favicon8331.png	(from https://betashop-theme.mysapo.net/)
10:31:57	5502/5502	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Jun%202024%2013:14:55%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/lazy.js?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/lazy8331.js	(from https://betashop-theme.mysapo.net/)
10:31:58	16380/16380	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20May%202024%2021:26:54%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/header.scss.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/header.scss8331.css	(from https://betashop-theme.mysapo.net/)
10:31:58	19967/19967	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Jul%202024%2023:21:15%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/index.scss.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/index.scss8331.css	(from https://betashop-theme.mysapo.net/)
10:31:58	26083/26083	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jul%202024%2007:44:05%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/quickviews.scss.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/quickviews.scss8331.css	(from https://betashop-theme.mysapo.net/)
10:31:59	4540/4540	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2008:51:55%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/responsive.scss.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/responsive.scss8331.css	(from https://betashop-theme.mysapo.net/)
10:32:00	48087/48087	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2006:13:44%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/main.scss.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/main.scss8331.css	(from https://betashop-theme.mysapo.net/)
10:32:01	144832/144832	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20Jul%202024%2019:05:34%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/bootstrap.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/bootstrap8331.css	(from https://betashop-theme.mysapo.net/)
10:32:01	13449/13449	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2003:59:29%20GMT	http://bizweb.dktcdn.net/100/039/691/themes/895040/assets/swiper-style.scss.css?1676344656178	C:/Users/admin/Downloads/muon-theme/bizweb.dktcdn.net/100/039/691/themes/895040/assets/swiper-style.scss8331.css	(from https://betashop-theme.mysapo.net/)
10:32:03	162033/162033	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%221027002eab4aa121634c7e34b4913eb6%22	https://betashop-theme.mysapo.net/s	C:/Users/admin/Downloads/muon-theme/betashop-theme.mysapo.net/s.c.delayed	(from https://betashop-theme.mysapo.net/)
